"Name","Street Address","City","State","Zip","Latitude","Longitude"
"NORTH STAR ELEMENTARY SCHOOL","8740 NORTH STAR DRIVE","DENVER","CO","80221",29.71737269999999,-98.1256433
"NORTHGLENN MIDDLE SCHOOL","1123 MURIEL DRIVE","NORTHGLENN","CO","80233",39.8965521,-104.9725319
"NORTHGLENN HIGH SCHOOL","601 WEST 100TH PLACE","NORTHGLENN","CO","80221",39.880544,-104.994691
"PROSPECT RIDGE ACADEMY","2555 PREBLE CREEK PKWY","BROOMFIELD","CO","80023",39.9943091,-105.0176361
"PATHWAYS FUTURE CENTER","550 E. 124TH AVENUE","THORNTON","CO","80241",39.920819,-104.982149
"PRAIRIE HILLS ELEMENTARY SCHOOL","13801 GARFIELD PLACE","THORNTON","CO","80602",39.9466744,-104.9443645
"SILVER CREEK ELEMENTARY","15101 FILLMORE STRE","THORNTON","CO","80602",39.9712107,-104.9538305
"THE STUDIO SCHOOL","10604 GRANT DRIVE","NORTHGLENN","CO","80233",39.888843,-104.981339
"STELLAR ELEMENTARY SCHOOL","3901 EAST 124TH AVENUE","THORNTON","CO","80241",39.9225586,-104.9418744
"STEM LAB","11700 IRMA DRIVE","NORTHGLENN","CO","80233",39.9084898,-104.9673863
"STEM LAUNCH","9450 PECOS STREET","THORNTON","CO","80206",39.868596,-105.0051058
"STUKEY ELEMENTARY SCHOOL","11080 GRANT DRIVE","NORTHGLENN","CO","80233",39.897725,-104.9797959
"THORNTON ELEMENTARY SCHOOL","900 EPPINGER BOULEVARD","THORNTON","CO","80229",39.864708,-104.97517
"WESTGATE CHARTER","11700 IRMA DRIVE","NORTHGLENN","CO","80233",39.9084898,-104.9673863
"WESTLAKE MIDDLE SCHOOL","2800 WEST 135TH AVENUE","BROOMFIELD","CO","80020",39.9416425,-105.0195783
"WESTVIEW ELEMENTARY SCHOOL","1300 ROSEANNA DRIVE","NORTHGLENN","CO","80234",39.890399,-105.004282
"WOODGLEN ELEMENTARY SCHOOL","11717 MADISON STREET","THORNTON","CO","80233",39.9079086,-104.9465364
"ADAMS CITY MIDDLE SCHOOL","4451 EAST 72ND AVENUE","COMMERCE CITY","CO","80022",39.8273248,-104.9357704
"LESTER R ARNOLD HIGH SCHOOL","6500 EAST 72ND AVENUE","COMMERCE CITY","CO","80022",39.8265816,-104.9123378
"ADAMS CITY HIGH SCHOOL","7200 QUEBEC PARKWAY","COMMERCE CITY","CO","80022",39.827852,-104.9006756
"STARS EARLY LEARNING CENTER","5650 BOWEN COURT","COMMERCE CITY","CO","80022",39.79937880000001,-104.9091323
"ALSUP ELEMENTARY SCHOOL","7101 BIRCH STREET","COMMERCE CITY","CO","80022",39.8256464,-104.9370787
"CENTRAL ELEMENTARY SCHOOL","6450 HOLLY STREET","COMMERCE CITY","CO","80022",39.8137878,-104.921258
"DUPONT ELEMENTARY SCHOOL","7970 KIMBERLY STREET","COMMERCE CITY","CO","80022",39.8414278,-104.9166009
"KEARNEY MIDDLE SCHOOL","6160 KEARNEY STREET","COMMERCE CITY","CO","80022",39.8085359,-104.9168375
"KEMP ELEMENTARY SCHOOL","6775 ONEIDA STREET","COMMERCE CITY","CO","80022",39.8198382,-104.9085987
"MILDRED L SANVILLE PRESCHOOL","5941 EAST 64TH AVENUE","COMMERCE CITY","CO","80022",39.8131026,-104.9194007
"MONACO ELEMENTARY SCHOOL","7631 MONACO BOULEVARD","COMMERCE CITY","CO","80022",39.8352451,-104.9134716
"HANSON ELEMENTARY SCHOOL","7133 EAST 73RD AVENUE","COMMERCE CITY","CO","80022",39.8295952,-104.905409
"ROSE HILL ELEMENTARY SCHOOL","6900 EAST 58TH AVENUE","COMMERCE CITY","CO","80022",39.80110699999999,-104.909015
"BELLE CREEK CHARTER SCHOOL","9290 EAST 107TH AVENUE","HENDERSON","CO","80640",39.8914767,-104.8797311
"BRANTNER ELEMENTARY SCHOOL","7800 E. 133RD AVENUE","THORNTON","CO","80602",39.937816,-104.8967405
"BRIGHTON HERITAGE ACADEMY","830 BRIDGE STREET","BRIGHTON","CO","80601",39.9859037,-104.8119272
"BRIGHTON HIGH SCHOOL","270 SOUTH 8TH AVENUE","BRIGHTON","CO","80601",39.9807879,-104.810383
"BROMLEY EAST CHARTER SCHOOL","356 LONGSPUR DRIVE","BRIGHTON","CO","80601",39.982423,-104.745533
"BOLT ACADEMY","1850 EGBERT STREET","BRIGHTON","CO","80601",39.9829473,-104.8003229
"EAGLE RIDGE ACADEMY","3551 SOUTHERN STREET","BRIGHTON","CO","80601",39.9808796,-104.7816885
"FOUNDATIONS ACADEMY","340 SOUTH 45TH AVENUE","BRIGHTON","CO","80601",39.9826904,-104.7602182
"HENDERSON ELEMENTARY SCHOOL","12301 EAST 124TH AVENUE","HENDERSON","CO","80640",39.9227743,-104.8446119
"LANDMARK ACADEMY AT REUNION","10566 MEMPHIS STREET","COMMERCE CITY","CO","80022",39.8887522,-104.796019
"MARY E PENNOCK ELEMENTARY SCHOOL","3707 ESTRELLA STREET","BRIGHTON","CO","80601",39.982733,-104.776658
"NORTH ELEMENTARY SCHOOL","89 NORTH 6TH AVENUE","BRIGHTON","CO","80601",39.9884549,-104.8155494
"NORTHEAST ELEMENTARY SCHOOL","1605 LONGSPEAK","BRIGHTON","CO","80601",39.993205,-104.801762
"OVERLAND TRAIL MIDDLE SCHOOL","455 NORTH 19TH AVENUE","BRIGHTON","CO","80601",39.99513899999999,-104.8009982
"OTHO E STUART MIDDLE SCHOOL","15955 EAST 101ST WAY","COMMERCE CITY","CO","80022",39.8816657,-104.802244
"PRAIRIE VIEW HIGH SCHOOL","12909 E 120TH AVE","HENDERSON","CO","80640",39.9159928,-104.8401743
"PRAIRIE VIEW MIDDLE SCHOOL","12915 EAST 120TH AVENUE","HENDERSON","CO","80640",39.9156016,-104.8339907
"SECOND CREEK ELEMENTARY SCHOOL","9950 LAREDO DRIVE","COMMERCE CITY","CO","80022",39.8769997,-104.8011869
"SD 27J PRESCHOOL AT THE BRIGHTON LRC","1850 EGBERT SUITE G20","BRIGHTON","CO","80601",39.9829473,-104.8003229
"JOHN W THIMMIG ELEMENTARY SCHOOL","11453 OSWEGO STREET","HENDERSON","CO","80640",39.9047899,-104.8505616
"SOUTH ELEMENTARY SCHOOL","305 SOUTH 5TH AVENUE","BRIGHTON","CO","80601",39.981316,-104.8174219
"SOUTHEAST ELEMENTARY SCHOOL","1595 SOUTHERN STREET","BRIGHTON","CO","80601",39.9796105,-104.8025893
"TURNBERRY ELEMENTARY","13069 EAST 106TH PLACE","COMMERCE CITY","CO","80022",39.8909314,-104.8340353
"VIKAN MIDDLE SCHOOL","879 JESSUP STREET","BRIGHTON","CO","80601",39.9782695,-104.8114191
"WEST RIDGE ELEMENTARY","13102 MONACO STREET","THORNTON","CO","80602",39.9345515,-104.9110213
"BENNETT PRESCHOOL","805 WASHINGTON WAY","BENNETT","CO","80102",39.7584109,-104.4235957
"BENNETT ELEMENTARY SCHOOL","462 8TH STREET","BENNETT","CO","80102",39.7576455,-104.4236983
"BENNETT MIDDLE SCHOOL","455 8TH STREET","BENNETT","CO","80102",39.7579871,-104.4238285
"BENNETT HIGH SCHOOL","610 7TH STREET","BENNETT","CO","80102",39.7609435,-104.4248115
"PRAIRIE CREEKS CHARTER SCHOOL","1983 MONROE STREET","STRASBURG","CO","80136",39.7448738,-104.3213984
"STRASBURG ELEMENTARY SCHOOL","56729 EAST COLORADO AVENUE","STRASBURG","CO","80136",39.744706,-104.3225711
"HEMPHILL MIDDLE SCHOOL","2100 WAGNER","STRASBURG","CO","80136",39.7465819,-104.325101
"STRASBURG HIGH SCHOOL","56729 EAST COLORADO AVENUE","STRASBURG","CO","80136",39.744706,-104.3225711
"CLARA E. METZ ELEMENTARY SCHOOL","2341 SHERRELWOOD DRIVE","DENVER","CO","80221",39.8449079,-105.014111
"CROWN POINTE CHARTER ACADEMY","2900 WEST 86TH AVENUE","WESTMINSTER","CO","80031",39.8526329,-105.0231416
"FAIRVIEW ELEMENTARY SCHOOL","7826 FAIRVIEW DRIVE","DENVER","CO","80221",39.838535,-105.020099
"FRANCIS M. DAY ELEMENTARY SCHOOL","1740 JORDAN DRIVE","DENVER","CO","80221",39.8237153,-105.0093983
"GREGORY HILL PRESCHOOL","8030 IRVING STREET","WESTMINSTER","CO","80030",39.842584,-105.028959
"HARRIS PARK ELEMENTARY SCHOOL","4300 WEST 75TH AVENUE","WESTMINSTER","CO","80030",39.8319491,-105.0460596
